x;y;OBJECTID;Nombre_Ban;Este;Norte
282095.0289;2162550.481;102;OM;282095.0289;2162550.481
282121.0465;2162350.191;103;King;282121.0465;2162350.191
282000.3134;2162366.272;104;Los Cibaos;282000.3134;2162366.272
282020.8377;2162301.58;106;OM;282020.8377;2162301.58
282527.0537;2162781.536;107;King;282527.0537;2162781.536
282558.4351;2162633.778;108;Jesús Anibal;282558.4351;2162633.778
282454.2887;2162502.499;109;JL;282454.2887;2162502.499
282517.1124;2162394;110;Carlito Sport;282517.1124;2162394
282323.3191;2162410.078;111;Peralta Minier;282323.3191;2162410.078
282425.2381;2162322.698;113;Neno Cabrera;282425.2381;2162322.697
282533.0251;2162373.102;114;Beco;282533.0251;2162373.102
282698.0578;2162287.727;115;Los Cibaos;282698.0578;2162287.727
282624.7192;2162299.466;116;Beco;282624.7192;2162299.466
282621.0132;2162175.385;117;JL;282621.0132;2162175.385
282570.341;2162186.518;118;Tejada;282570.341;2162186.518
282459.8116;2162239.123;119;D'Tony Banca;282459.8116;2162239.123
282369.9385;2162272.433;120;D'Tony Banca;282369.9385;2162272.433
282126.0452;2162303.625;121;Beco;282126.0452;2162303.625
282072.4118;2162191.776;122;Beco;282072.4118;2162191.776
282047.6273;2162113.018;123;Los Cibaos;282047.6273;2162113.018
281862.2185;2162214.702;124;Leidsa;281862.2185;2162214.702
281870.9157;2162057.806;125;Loteka;281870.9157;2162057.806
281588.4381;2161566.285;126;Real;281588.4381;2161566.285
281590.4136;2161633.805;127;Loteka;281590.4136;2161633.805
281962.7949;2162483.767;128;Jesús Anibal;281962.7949;2162483.766
281962.0938;2162581.658;129;D'Tony Banca;281962.0938;2162581.658
281972.8085;2162694.692;130;Los Cibaos;281972.8085;2162694.692
282050.7136;2162678.798;131;Los Cibaos;282050.7136;2162678.798
281949.6009;2162849.549;132;King;281949.6009;2162849.549
282037.2909;2162878.824;133;Fey;282037.2909;2162878.824
282065.0136;2162871.069;134;Chavez;282065.0136;2162871.069
282105.6345;2162957.386;135;Jesús Anibal;282105.6345;2162957.386
282100.513;2163045.698;136;Tejada;282100.513;2163045.698
282109.9973;2163074.705;137;Antonio Cruz;282109.9973;2163074.705
282179.1753;2163100.994;138;D'Tony Banca;282179.1753;2163100.994
282227.6005;2163250.996;139;Jesús Anibal;282227.6005;2163250.996
282083.3769;2163078.128;140;OM;282083.3769;2163078.128
282064.3136;2163133.391;141;Jesús Anibal;282064.3136;2163133.391
281748.4213;2163034.805;142;Jesús Anibal;281748.4213;2163034.805
281593.6815;2163068.022;143;Chavez;281593.6815;2163068.022
280789.6317;2162355.207;144;Jesús Anibal;280789.6317;2162355.207
281198.2741;2162930.994;145;D'Tony Banca;281198.2741;2162930.994
281223.756;2163006.421;146;Flamingo;281223.756;2163006.421
281302.1183;2162993.729;147;King;281302.1183;2162993.729
281358.1877;2162986.403;148;Joaquin;281358.1877;2162986.403
281399.6877;2162998.078;149;Jesús Anibal;281399.6877;2162998.078
281558.2481;2162985.518;150;Banca López;281558.2481;2162985.518
281558.486;2162961.93;151;Jesús Anibal;281558.486;2162961.93
281516.5777;2162899.436;152;Jesús Anibal;281516.5777;2162899.436
281416.0641;2162687.729;153;Beco;281416.0641;2162687.729
281366.6243;2162524.011;154;Fey;281366.6243;2162524.011
281187.9629;2162239.733;155;Jesús Anibal;281187.9629;2162239.733
281238.2091;2162383.289;156;Jesús Anibal;281238.2091;2162383.289
281263.4978;2162468.684;157;Jesús Anibal;281263.4978;2162468.684
281297.9135;2162613.983;158;Flamingo;281297.9135;2162613.983
281323.1934;2162690.078;159;Loteka;281323.1934;2162690.078
281357.9395;2162776.355;160;D'Tony Banca;281357.9395;2162776.355
281363.6912;2162809.06;161;Carlito Sport;281363.6912;2162809.06
281415.4988;2162900.002;162;Flamingo;281415.4988;2162900.002
281304.8139;2163008.202;163;Los Cibaos;281304.8139;2163008.202
281306.0624;2162895.244;164;Banca;281306.0624;2162895.244
281175.701;2163016.751;165;Loteka;281175.701;2163016.751
280976.6683;2163015.856;166;Jesús Anibal;280976.6683;2163015.856
281132.0846;2162900.353;167;Jesús Anibal;281132.0846;2162900.353
280808.7617;2163028.091;168;Jesús Anibal;280808.7617;2163028.091
281015.9207;2162843.194;169;D'Tony Banca;281015.9207;2162843.194
281173.7287;2162777.381;170;JL;281173.7287;2162777.38
281255.3041;2162666.434;171;Chavez;281255.3041;2162666.434
280801.0855;2162932.405;172;Jesús Anibal;280801.0855;2162932.405
280662.259;2162841.863;173;Fey;280662.259;2162841.863
280848.0198;2162787.221;174;Jesús Anibal;280848.0198;2162787.221
280995.1532;2162749.882;175;Neno Cabrera;280995.1532;2162749.882
281170.4647;2162569.805;176;Faty López;281170.4647;2162569.805
281050.0326;2162567.397;177;Beco;281050.0326;2162567.397
280752.4299;2162764.581;178;Real;280752.4299;2162764.581
280702.714;2162681.92;179;Banca;280702.714;2162681.92
280922.0472;2162617.014;180;Flamingo;280922.0472;2162617.014
281168.5168;2162453.011;181;Beco;281168.5168;2162453.011
281119.7062;2162444.526;182;Banca;281119.7062;2162444.526
281056.3728;2162484.717;183;Jesús Anibal;281056.3728;2162484.717
280959.6698;2162517.232;184;D'Tony Banca;280959.6698;2162517.232
280784.852;2162617.249;185;JL;280784.852;2162617.249
280632.8397;2162650.552;186;Jesús Anibal;280632.8397;2162650.552
280600.8579;2162610.416;187;B y C;280600.8579;2162610.416
280765.4252;2162453.276;188;Fey;280765.4252;2162453.276
280762.5855;2162495.83;189;Banca;280762.5855;2162495.83
280986.7614;2162328.553;190;Los Cibaos;280986.7614;2162328.553
280982.3978;2162194.514;191;Chavez;280982.3978;2162194.514
280915.2934;2162269.853;192;Jesús Anibal;280915.2934;2162269.853
280977.1094;2162191.257;193;Fey;280977.1094;2162191.257
280882.4665;2162194.847;194;Jesús Anibal;280882.4665;2162194.847
280799.3874;2162217.01;195;Jesús Anibal;280799.3874;2162217.01
280885.6641;2162388.14;196;Banca;280885.6641;2162388.14
280850.7048;2162293.229;197;Neno Cabrera;280850.7048;2162293.229
281213.4398;2164278.593;198;Fey;281213.4398;2164278.593
281536.0105;2164082.218;199;JL;281536.0105;2164082.217
281600.8092;2164033.484;200;D'Tony Banca;281600.8092;2164033.484
281670.8597;2163985.018;201;Los Cibaos;281670.8597;2163985.018
280013.0571;2163890.436;202;Los Cibaos;280013.0571;2163890.436
281812.1614;2163684.556;203;D'Tony Banca;281812.1614;2163684.556
281495.718;2163919.495;204;D'Tony Banca;281495.718;2163919.495
281434.7466;2164058.426;205;Lino;281434.7466;2164058.426
281304.9415;2164018.152;206;Jesús Anibal;281304.9415;2164018.152
281269.7906;2163734.895;207;Banca;281269.7906;2163734.895
281147.8388;2163650.234;208;Los Cibaos;281147.8388;2163650.234
280556.695;2162561.349;209;Jesús Anibal;280556.695;2162561.349
280510.3107;2162356.293;210;JL;280510.3107;2162356.293
